Dataset,Accuracy,Precision,Recall,F1-Score
Train,0.9090909090909091,1.0,0.8421052631578947,0.9142857142857143
Validation,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333
Test,0.875,0.6666666666666666,1.0,0.8
Train,1.0,1.0,1.0,1.0
Validation,0.2857142857142857,0.25,0.3333333333333333,0.2857142857142857
Test,0.75,0.5,1.0,0.6666666666666666
Train,1.0,1.0,1.0,1.0
Validation,0.42857142857142855,0.4,0.6666666666666666,0.5
Test,0.5,0.3333333333333333,1.0,0.5
